BenchMark::doResolutionInterview(AutoRef<DFCPrimaryWindow>,bool)	.text	00401000	00001477	00000060	0000000C	R	.	.	.	.	B	.	.
BenchMark::benchMarkCpu(void)	.text	004022B0	0000013A	00000028	00000000	R	.	.	.	.	B	T	.
BenchMark::benchMarkFillRate(dx3DGraphics *)	.text	004023F0	00000323	000000B8	00000000	R	.	.	.	.	B	T	.
IsKindOf<dx3DGraphics,DFC3DGraphics>(DFC3DGraphics *)	.text	00402710	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
IsKindOf<dxWindow,DFCPrimaryWindow>(DFCPrimaryWindow *)	.text	00402750	0000003F	00000004	00000000	R	.	.	.	.	.	.	.
DFCClass::instanceof(DFCClass *)	.text	00402790	00000030	00000000	00000000	R	.	.	.	.	.	T	.
DFCMatrix4::ortho2D(float,float,float,float,float,float)	.text	004027C0	000000C3	00000044	00000018	R	.	.	.	.	B	.	.
String::operator+(String const &)	.text	00402890	00000098	00000010	00000008	R	.	.	.	.	B	.	.
String::append(char const *,uint)	.text	00402930	000000D3	00000010	00000008	R	.	.	.	.	B	T	.
String::operator+=(String const &)	.text	00402A10	00000031	00000004	00000000	R	.	.	.	.	.	.	.
DFCControl::setTop(long)	.text	00402A50	00000013	00000000	00000000	R	.	.	.	.	.	T	.
DFCControl::setLeft(long)	.text	00402A70	0000001C	00000004	00000004	R	.	.	.	.	B	T	.
String::String(char const *)	.text	00402A90	0000002A	00000008	00000000	R	.	.	.	.	.	T	.
String::assign(char const *)	.text	00402AC0	0000002C	0000000C	00000004	R	.	.	.	.	B	T	.
String::assign(char const *,uint)	.text	00402AF0	000000A6	0000000C	00000004	R	.	.	.	.	B	T	.
String::String(String const &)	.text	00402BA0	00000037	00000004	00000000	R	.	.	.	.	.	T	.
AttributeUtil::getClass(void)	.text	00402BE0	00000006	00000000	00000000	R	.	.	.	.	.	T	.
createAttributeUtil(void)	.text	00402BF0	0000006A	00000014	00000000	R	.	.	.	.	B	T	.
_register_class_AttributeUtil::_register_class_AttributeUtil(void)	.text	00402C50	0000016A	00000024	00000004	R	.	.	.	.	B	T	.
AttributeUtil::getInstance(void)	.text	00402D90	000000B3	00000014	00000000	R	.	.	.	.	B	T	.
AttributeUtil::AttributeUtil(void)	.text	00402E30	0000008F	00000014	00000004	R	.	.	.	.	B	T	.
AttributeUtil::`vector deleting destructor'(uint)	.text	00402EB0	00000022	00000008	00000001	R	.	.	.	.	B	T	.
